bhk,type,locality,area,price,price_unit,region,status,age,price _INR,Rent_price
4,Apartment,Rajsanket Rajinfinia Phase II Wing A Wing B Wing C,2031,4.25,Cr,Malad West,Under Construction,Unknown,42500000,35416.66667
1,Apartment,Thanekar Civic,249,22,L,Badlapur West,Under Construction,New,2200000,1833.333333
4,Apartment,ACME Ozone,2200,2.6,Cr,Thane West,Ready to move,Unknown,26000000,21666.66667
1,Apartment,G K Mali and C K Mali Durga Imperial,750,45,L,Kalyan East,Under Construction,New,4500000,3750
1,Apartment,Siddhitech Siddhicity Phase V,650,16,L,Badlapur East,Ready to move,Unknown,1600000,1333.333333
1,Apartment,Indiabulls Indiabulls Golf City,540,46.68,L,Khopoli,Ready to move,Unknown,4668000,3890
1,Apartment,Laabh Pehla Ghar Shubh Sanket Complex,283,47.99,L,Thane West,Under Construction,New,4799000,3999.166667
3,Apartment,T Bhimjyani The Verraton,1260,1.85,Cr,Thane West,Ready to move,Unknown,18500000,15416.66667
1,Apartment,Sambhav Deep Devansh 5,600,37,L,Karanjade,Ready to move,New,3700000,3083.333333
3,Apartment,Tharwani Vedant Palacia Wing A Aetius,1032,1.12,Cr,Kalyan West,Under Construction,New,11200000,9333.333333
1,Apartment,Arihant Aspire Phase I,775,58,L,Panvel,Under Construction,New,5800000,4833.333333
2,Apartment,Mahindra Alcove,762,1.96,Cr,Andheri East,Under Construction,New,19600000,16333.33333
3,Apartment,Tridhaatu Aum,1130,3.05,Cr,Chembur,Under Construction,New,30500000,25416.66667
1,Apartment,Lodha Palava Golden Tomorrow,550,28,L,Dombivali,Ready to move,Resale,2800000,2333.333333
3,Apartment,SB Prakruti Park,1210,1.55,Cr,Thane West,Ready to move,Resale,15500000,12916.66667
3,Apartment,Hiranandani Eagleridge Wing B,1750,2.85,Cr,Thane West,Ready to move,Unknown,28500000,23750
3,Apartment,Midas Heights,1135,56.95,L,Virar,Ready to move,New,5695000,4745.833333
1,Apartment,Nisarg Greens,750,35,L,Ambernath East,Ready to move,New,3500000,2916.666667
2,Apartment,City Century One,1025,1.25,Cr,Ghansoli,Ready to move,Resale,12500000,10416.66667
1,Apartment,Jay Gurudev Sai Ornate,715,58,L,Ulwe,Ready to move,Resale,5800000,4833.333333
3,Apartment,Goodwill Kanchangiri,1514,2.45,Cr,Kandivali East,Under Construction,Unknown,24500000,20416.66667
3,Apartment,Ashar Monarch,1760,2.25,Cr,Thane West,Ready to move,Unknown,22500000,18750
2,Apartment,Runwal Codename BeWise,750,99.99,L,Thane West,Under Construction,Unknown,9999000,8332.5
1,Apartment,Swagat Heights,700,52,L,Mira Road East,Ready to move,Resale,5200000,4333.333333
2,Apartment,Mahindra Alcove,1125,2.25,Cr,Andheri East,Ready to move,New,22500000,18750
1,Apartment,Mehta Onyx,550,1.17,Cr,Goregaon East,Under Construction,New,11700000,9750
7,Apartment,Piramal Revanta,2766,7.71,Cr,Mulund West,Under Construction,New,77100000,64250
2,Apartment,Apraulic Sterling Court Wing D,1200,2.3,Cr,Andheri East,Ready to move,New,23000000,19166.66667
1,Apartment,Priya Jade,416,91.52,L,Chembur,Under Construction,New,9152000,7626.666667
3,Apartment,Kalpataru Hills,1750,2.1,Cr,Thane West,Ready to move,Unknown,21000000,17500
1,Apartment,Lodha Crown,317,59,L,Thane West,Under Construction,New,5900000,4916.666667
3,Apartment,Sunteck City Avenue 1,1125,2.15,Cr,Goregaon West,Ready to move,New,21500000,17916.66667
2,Apartment,Amisha Empire Phase I,845,85,L,Mira Road East,Under Construction,New,8500000,7083.333333
1,Apartment,Reputed Builder Bhoomi Green,605,1.15,Cr,Borivali East,Ready to move,Resale,11500000,9583.333333
3,Apartment,JP North Barcelona,1385,1.28,Cr,Mira Road East,Ready to move,New,12800000,10666.66667
1,Apartment,Siddharth Riverwood Park,660,36,L,Dombivali,Under Construction,New,3600000,3000
2,Apartment,Agarwal Paramount,499,50.95,L,Virar,Ready to move,New,5095000,4245.833333
1,Apartment,Puraniks Unicorn Phase 1,500,40,L,Thane West,Under Construction,New,4000000,3333.333333
1,Studio Apartment,Rajesh White City,650,1.15,Cr,Kandivali East,Ready to move,Resale,11500000,9583.333333
2,Apartment,Reputed Builder Lodha CASA LAKESIDE,1219,68.5,L,Palava,Ready to move,New,6850000,5708.333333
1,Apartment,Mahada New Tower,430,50,L,Malad West,Ready to move,Resale,5000000,4166.666667
4,Apartment,T Bhimjyani The Verraton,2350,3.15,Cr,Thane West,Ready to move,Unknown,31500000,26250
2,Apartment,Unique Poonam Estate Cluster 2,1155,1.3,Cr,Mira Road East,Ready to move,Resale,13000000,10833.33333
2,Apartment,MICL Aradhya D And E Tower,780,1,Cr,Bhayandar East,Under Construction,New,10000000,8333.333333
2,Apartment,Rustomjee La Familia Wing C,700,1.4,Cr,Thane West,Under Construction,New,14000000,11666.66667
3,Apartment,Kanakia Levels,1741,2.8,Cr,Malad East,Ready to move,Resale,28000000,23333.33333
1,Apartment,Unique Ivana,730,65.5,L,Mira Road East,Ready to move,New,6550000,5458.333333
3,Apartment,Piramal Revanta,1378,3.85,Cr,Mulund West,Under Construction,New,38500000,32083.33333
2,Apartment,Kohinoor City Residential Phase 2 Block 2,1267,2.05,Cr,Kurla,Ready to move,Resale,20500000,17083.33333
1,Studio Apartment,Omkar Nest,410,25,L,Ulwe,Ready to move,Resale,2500000,2083.333333
2,Apartment,Kohinoor Eden,1250,40,L,Kalyan East,Under Construction,Unknown,4000000,3333.333333
5,Apartment,Tridhaatu Tridhaatu Aranya,3210,9.4,Cr,Deonar,Under Construction,New,94000000,78333.33333
2,Apartment,Siddhi Highland Haven Building 1A Dew B Phase 1,840,1.15,Cr,Thane West,Ready to move,Resale,11500000,9583.333333
4,Apartment,Ashish Samriddhi,2088,2.45,Cr,Mira Road East,Ready to move,Resale,24500000,20416.66667
2,Apartment,Raj Heritage 2,1025,96.25,L,Mira Road East,Ready to move,New,9625000,8020.833333
2,Apartment,Hiranandani One Hiranandani Park,726,1.1,Cr,Thane West,Ready to move,Unknown,11000000,9166.666667
3,Apartment,Vasant Vasant Vihar,1650,2.3,Cr,Thane West,Ready to move,Unknown,23000000,19166.66667
